datetime,zone_1,zone_2,zone_3,zone_4,zone_5
2004-01-01,1486969,402200,3258627,3515963,14661
2004-01-02,1426468,409477,3698050,3990102,14196
2004-01-03,1320876,368016,3330975,3594026,12355
2004-01-04,1170487,326785,3173938,3424578,11352
2004-01-05,1219942,348839,4046833,4366437,11506
2004-01-06,1606993,521793,4724497,5097642,14952
2004-01-07,1968050,663385,5392437,5818345,18067
2004-01-08,1945891,618726,5230353,5643461,17165
2004-01-09,1889552,608845,4938671,5328731,16745
2004-01-10,2103718,654233,5352922,5775712,18058
2004-01-11,2213188,698740,5048471,5447208,18348
2004-01-12,1731053,497215,4554831,4914567,14784
2004-01-13,1602672,447034,4496018,4851110,14916
2004-01-14,1684888,493925,4779945,5157464,15084
2004-01-15,1636839,494945,4989333,5383388,16077
2004-01-16,1899538,577138,5520897,5956952,18199
2004-01-17,1843769,535128,4863205,5247304,18290
2004-01-18,1607499,473455,4310494,4650925,16001
2004-01-19,1809168,588624,5257342,5672580,17273
2004-01-20,1982888,650131,5419830,5847899,18182
2004-01-21,1977175,647076,5418138,5846076,18710
2004-01-22,1780490,541922,4988787,5382807,17046
2004-01-23,1873908,598802,5399707,5826190,18488
2004-01-24,1723368,514386,5057322,5456753,18155
2004-01-25,2205497,727768,5375522,5800097,19319
2004-01-26,2253484,752017,5481182,5914101,17913
2004-01-27,2033684,637944,5290501,5708361,16165
2004-01-28,1982315,640669,5208194,5619552,17746
2004-01-29,1834659,543388,4911427,5299335,16361
2004-01-30,1763622,554822,5109784,5513363,16633
2004-01-31,2068604,692317,5295329,5713566,19141
2004-02-01,1879943,595857,4894323,5280878,17591
2004-02-02,1709072,588250,5143120,5549333,16229
2004-02-03,1566647,518615,4829194,5210607,15211
2004-02-04,1599308,482195,4577317,4938833,14829
2004-02-05,1743235,579788,4945595,5336199,16333
2004-02-06,1666543,587344,4699184,5070328,7791
2004-02-07,1550706,527278,4291406,4630334,12628
2004-02-08,1668556,545548,4460672,4812971,14718
2004-02-09,1709439,552083,4724435,5097569,16441
2004-02-10,1510555,474181,4285273,4623716,14785
2004-02-11,1522678,477764,4378506,4724310,14847
2004-02-12,1648866,517035,4474805,4828216,14753
2004-02-13,1541950,468096,4498054,4853308,14501
2004-02-14,1494582,463491,4380600,4726571,16028
2004-02-15,1612816,519970,4468162,4821049,16116
